Pessimistic Strategy with Heuristic
5 Voters 5 Alternatives 
30 Questions for 1 runs 
Mean of Regret reduced by half in 30 questions 
Mean of Regret reduced by four in -1 questions 
Mean of Regret reduced by eight in -1 questions 
Mean of Average Loss reduced by half in -1 questions 
Mean of Average Loss reduced by four in -1 questions 
Mean of Average Loss reduced by eight in -1 questions 
k 	 Mean of Regrets 
0 	5.0
30	2.1538453076923076
k 	 Mean of Average Losses 
0 	1.0
30	0.9999999999999996
k 	 Standard Deviations of Regrets 
30	0.0
k 	 Standard Deviations of Average Losses 
30	0.0
k 	 Percentage of Questions to the Voters 
30	83.3%
